kraj	pozytywne	negatywne	wszystkie	dg	db	woe_val	ddiff	iv
DE	1206	5607	6813	0.02599249967671020303	0.02521348496499251285	0.03042905338076421387	0.00077901471171769018	0.0000237046802472582398251505187599187966
ES	1547	7183	8730	0.03334195439458597353	0.03230042134894617796	0.03173622071557050377	0.00104153304563979557	0.0000330543226189849191261163179847142989
FR	3295	15204	18499	0.07101599206862364757	0.06836915024215198241	0.03798338904477421966	0.00264684182647166516	0.0001005360228348540325937451786398090456
IT	755	4261	5016	0.01627225311435837752	0.01916080960153969988	-0.16340563203358134141	-0.00288855648718132236	0.0004720063984525654804096377947464269276
PL	15494	61097	76591	0.33393680762101814733	0.2747401981284372316	0.19512585929123742923	0.05919660949258091573	0.0115507892943676736765743427249644687879
US	24101	129029	153130	0.51944049312470365102	0.5802159357139323953	-0.11064807966908880685	-0.06077544258922874428	0.006724686013537115013971973292028962318
